"","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","bua","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","Reliability","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","a$cluster","log","lan"
"10","General observations","Seen","place",6502.889952,"road",0.004976601,"N","Y","Y","N","N",81.5999984741211,0.412800014019012,64,102,130,6,1.6849000453949,0.0573999993503094,0,1.76559710502625,265.287506103516,3.64739990234375,85.3256988525391,34.712100982666,6,12.2073001861572,"low reliability",144.14823,-38.31185
"12","Spotlighting on foot","Heard","place",2149.49733,"road",0.003970446,"N","Y","N","N","Y",191.800003051758,0.215100005269051,45,136,118,19,2.28559994697571,0.0299999993294477,0,1.76559710502625,252.571792602539,16.5268001556396,91.7275009155273,74.0703964233398,6,13.292200088501,"low reliability",144.97151,-38.35692
"13","Spotlighting on foot","Heard","place",2149.49733,"road",0.003970446,"N","Y","N","N","Y",191.800003051758,0.215100005269051,45,136,118,19,2.28559994697571,0.0299999993294477,0,1.76559710502625,252.571792602539,16.5268001556396,91.7275009155273,74.0703964233398,6,13.292200088501,"low reliability",144.97151,-38.35692
"16","Spotlighting on foot","Heard","mountain",1538.371115,"road",0.002777363,"N","Y","N","N","Y",179.199996948242,0.504100024700165,45,136,118,20,2.25629997253418,0.0324000008404255,0,1.76559710502625,253.360702514648,15.8145999908447,92.1883010864258,72.0103988647461,6,13.9223003387451,"low reliability",144.96925,-38.35598
"26","General observations","Heard","place",9116.189407,"road",0.011436774,"N","Y","Y","N","Y",8.39999961853027,0.00889999978244305,57,145,129,113,0.992699980735779,0.0007999999797903,0,1.76559710502625,261.909301757812,26.0907001495361,83.9093017578125,49.0906982421875,113,17.0659999847412,"high reliability",146.57209,-38.64496
"29","Frog census","Heard","place",2100.357831,"watercourse_river",0.002674704,"Y","N","N","N","N",39.4000015258789,0.0386999994516373,16,95,118,19,1.55830001831055,0.0141000002622604,0.823253273963928,11.6354398727417,291.156005859375,17.028299331665,82.1910018920898,22.3194999694824,109,15.9082002639771,"low reliability",145.03149,-37.78661
"30","Frog census","Heard","place",2100.357831,"watercourse_river",0.002674704,"Y","N","N","N","N",39.4000015258789,0.0386999994516373,16,95,118,19,1.55830001831055,0.0141000002622604,0.823253273963928,11.6354398727417,291.156005859375,17.028299331665,82.1910018920898,22.3194999694824,109,15.9082002639771,"low reliability",145.03149,-37.78661
"31","Frog census","Captured and released","rail_station",1316.273334,"watercourse_river",0.001049239,"Y","N","N","N","N",45.2000007629395,0.00419999985024333,16,154,118,19,1.6418000459671,0.00930000003427267,0.473665654659271,9.86720561981201,288.963287353516,16.0366992950439,83.4189987182617,23.0366992950439,103,15.7447996139526,"low reliability",145.02242,-37.82882
"32","Frog census","Captured and released","rail_station",1316.273334,"watercourse_river",0.001049239,"Y","N","N","N","N",45.2000007629395,0.00419999985024333,16,154,118,19,1.6418000459671,0.00930000003427267,0.473665654659271,9.86720561981201,288.963287353516,16.0366992950439,83.4189987182617,23.0366992950439,103,15.7447996139526,"low reliability",145.02242,-37.82882
"33","Frog census","Captured and released","rail_station",1316.273334,"watercourse_river",0.001049239,"Y","N","N","N","N",45.2000007629395,0.00419999985024333,16,154,118,19,1.6418000459671,0.00930000003427267,0.473665654659271,9.86720561981201,288.963287353516,16.0366992950439,83.4189987182617,23.0366992950439,103,15.7447996139526,"low reliability",145.02242,-37.82882
"37","Frog census","Captured and released","rail_station",1199.096628,"road",0.004216872,"Y","Y","N","N","N",8.80000019073486,-0.000600000028498471,16,154,118,19,0.963100016117096,0.00609999988228083,0.356059461832046,10.35719871521,288.697387695312,15.018500328064,82.1705017089844,20.3875007629394,104,18.577600479126,"low reliability",144.9803,-37.83171
"52","Spotlighting on foot","Heard","place",3585.756544,"watercourse_river",0.002122056,"N","Y","Y","Y","N",174.600006103516,0.62389999628067,64,102,106,20,2.16960000991821,0.0428999997675419,0.911256074905396,11.3085422515869,297.927001953125,12.3618001937866,78.6464996337891,26.2873992919922,3,15.1654996871948,"high reliability",145.23795,-37.5078
"53","Dusk watch","Heard","place",4986.128366,"watercourse_stream",0.001113983,"N","Y","Y","Y","Y",128,0.232199996709824,64,102,106,16,2.02579998970032,0.0432999990880489,0.459443509578705,7.34824371337891,299.251586914062,20.1686992645264,81.2018966674805,37.0668983459473,3,14.9043998718262,"high reliability",145.44471,-37.57559
"64","Spotlighting on foot","Heard","place",5948.147262,"watercourse_river",0.02050318,"N","Y","Y","N","Y",60.4000015258789,-0.00570000009611249,16,95,129,16,1.78659999370575,0.0094999996945262,0,1.76559710502625,273.555694580078,10.444299697876,86.5557022094727,23.444299697876,103,16.7112998962402,"high reliability",146.85398,-38.47262
"65","General observations","Heard","place",711.962579,"road",0.00266473,"Y","Y","N","N","N",16.6000003814697,0.00039999998989515,16,154,118,19,1.22520005702972,0.0187999997287989,0.659824311733246,9.05496883392334,289.724609375,14.2848997116089,82.7184982299805,19.3623008728027,103,17.3059005737305,"low reliability",144.98082,-37.81279
"73","General observations","Heard","place",5176.756243,"coast",0.006577797,"N","Y","Y","N","N",-1,0,84,170,141,-99,0,0,0,1.76559710502625,261.427398681641,5.57270002365112,90.4272994995117,37.5727005004883,-99,19.4659996032715,"low reliability",144.25442,-38.37655
"80","Owl census","Heard","airport",6375.835265,"watercourse_river",0.000744459,"N","Y","N","N","Y",322.799987792969,-0.665899991989136,17,92,108,12,2.4993999004364,0.0122999995946884,1.28110122680664,12.9629802703857,282.0830078125,28.5294990539551,63.8580017089844,26.134199142456,12,10.9476003646851,"high reliability",146.66166,-37.91885
"81","Spotlighting","Heard","place",1275.829063,"watercourse_river",0.000427875,"N","N","N","N","Y",43,-0.0344999991357326,62,98,118,16,1.60060000419617,0.0230000000447035,0.326189398765564,5.86158418655396,288.765502929687,15.2033004760742,82.8139038085937,36.2939987182617,106,15.2805995941162,"low reliability",145.36662,-38.03777
"82","Incidental","Observation","place",7222.386173,"watercourse_stream",0.017915386,"N","Y","Y","N","Y",72.8000030517578,0.0571999996900559,16,95,129,16,1.86619997024536,0.0179999992251396,0,1.76559710502625,272.343200683594,11.6576995849609,84.3425979614258,24.6574001312256,106,15.4799995422363,"high reliability",146.85285,-38.4609
"83","Incidental","Seen","place",1550.369655,"watercourse_river",0.00098853,"N","N","N","N","Y",96.8000030517578,0.0852999985218048,17,92,106,16,1.89779996871948,0.0252999998629093,0.926530480384827,13.0133209228516,298.666290283203,12.6759004592896,83.4477996826172,26.0834007263184,3,14.5524997711182,"high reliability",145.39071,-37.66409
