temp_id,LATITUDEDD_NUM,LONGITUDEDD_NUM,bay,bua,forest,island,island_marine,lga,locality,mainland,named_natural_region,postcode,public_land,ridge,sea,vicgov_region,wb_lake,wb_lake_salt,wetland_swamp
3679,-37.27055,143.21025,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N
3680,-37.26789,143.20792,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N
3681,-37.95673,145.73834,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3682,-38.37086,144.24205,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3683,-38.37086,144.24205,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3684,-38.37086,144.24205,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3685,-38.37086,144.24205,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3686,-37.61288,141.15492,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3687,-37.44882,146.95096,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3688,-36.8165,143.80017,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3689,-36.87781,141.58207,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3690,-34.28337,142.24261,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3691,-38.35748,142.45097,N,Y,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N
3692,-38.3896,144.19669,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3693,-37.1743,146.65262,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,N
3694,-36.80221,143.46905,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3695,-36.90446,142.85173,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3696,-36.91352,144.3886,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3697,-36.82766,142.97545,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3698,-37.35262,145.99466,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3699,-37.35262,145.99466,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3700,-37.42831,146.23213,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3701,-37.42831,146.23213,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3702,-37.95622,146.33708,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3703,-37.59131,149.56499,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3704,-37.59131,149.56499,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3705,-37.54384,148.50171,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3706,-37.54384,148.50171,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N
3707,-36.58945,147.84807,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3708,-36.58945,147.84807,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
3709,-36.58945,147.84807,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N
