"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif"
"2399","high reliability","Camera - Surveillance/Remote","Observation with supporting evidence","mountain",6563.411163,"watercourse_stream",0.011349879,"Y","Y","N","Y",796.200012207031,10.5665998458862,46,124,88,7,2.89109992980957,0.188700005412102,2.08837175369263,16.2234573364258,267.067108154297,41.3320999145508,41.8286018371582,148.775207519531,7,10.2030000686646
"2400","high reliability","Camera - Surveillance/Remote","Observation with supporting evidence","peninsula",2591.901648,"road",0.00056428,"Y","Y","N","N",33.5999984741211,0.0296999998390675,22,71,99,16,1.54840004444122,0.000500000023748726,0,1.76559710502625,274.038391113281,32.9631004333496,66.0386962890625,45.9616012573242,6,15.4202995300293
"2401","high reliability","Camera - Surveillance/Remote","Observation with supporting evidence","peninsula",7914.707383,"road",0.00042513,"Y","Y","N","N",93,-0.00120000005699694,22,71,99,6,1.97549998760223,0.00549999997019768,0,1.76559710502625,274.650695800781,40.9524993896484,64.6371994018555,53.6139984130859,6,16.2341995239258
"2402","high reliability","Elliott trap","Captured and released","place",2911.239104,"watercourse_river",0.012681079,"Y","Y","N","N",189,0.0104000000283122,37,140,130,6,2.17050004005432,0.0120000001043081,0.217616498470306,6.73516178131104,260.686706542969,13.6181001663208,68.6503982543945,85.2863998413086,6,14.2672004699707
"2403","high reliability","Elliott trap","Captured and released","place",2911.239104,"watercourse_river",0.012681079,"Y","Y","N","N",189,0.0104000000283122,37,140,130,6,2.17050004005432,0.0120000001043081,0.217616498470306,6.73516178131104,260.686706542969,13.6181001663208,68.6503982543945,85.2863998413086,6,14.2672004699707
"2404","high reliability","Elliott trap Large","Captured and released","place",3656.455863,"road",0.002635433,"Y","Y","N","N",564.599975585938,-0.14190000295639,19,100,80,12,2.66709995269775,0.0133999995887279,0.901054799556732,10.4112319946289,278.562286376953,8.78079986572266,52.4438018798828,70.0567016601562,12,12.0712003707886
"2405","high reliability","Elliott trap Large","Captured and released","place",3656.455863,"road",0.002635433,"Y","Y","N","N",564.599975585938,-0.14190000295639,19,100,80,12,2.66709995269775,0.0133999995887279,0.901054799556732,10.4112319946289,278.562286376953,8.78079986572266,52.4438018798828,70.0567016601562,12,12.0712003707886
"2406","high reliability","Elliott trap Large","Captured and released","mountain",5033.281708,"watercourse_stream",0.009979311,"Y","Y","N","N",504.200012207031,-0.822200000286102,53,6,80,12,2.60560011863708,0.0737000033259392,0.531544268131256,10.5585346221924,286.486114501953,2.82739996910095,57.1848983764648,59.6972007751465,12,12.796799659729
"2407","high reliability","Elliott trap Large","Captured and released","mountain",5033.281708,"watercourse_stream",0.009979311,"Y","Y","N","N",504.200012207031,-0.822200000286102,53,6,80,12,2.60560011863708,0.0737000033259392,0.531544268131256,10.5585346221924,286.486114501953,2.82739996910095,57.1848983764648,59.6972007751465,12,12.796799659729
"2408","high reliability","Elliott trap Large","Captured and released","mountain",5033.281708,"watercourse_stream",0.009979311,"Y","Y","N","N",504.200012207031,-0.822200000286102,53,6,80,12,2.60560011863708,0.0737000033259392,0.531544268131256,10.5585346221924,286.486114501953,2.82739996910095,57.1848983764648,59.6972007751465,12,12.796799659729
"2409","high reliability","Elliott trap","Captured and released","mountain",151.9631863,"road",0.000802176,"Y","Y","Y","N",271,-0.0186999998986721,30,112,139,106,1.87650001049042,0.00939999986439943,1.55708432197571,12.7678937911987,295.877105712891,2.32999992370606,63.9612007141113,37.3670997619629,106,17.6539993286133
"2410","high reliability","Elliott trap","Captured and released","place",11778.01188,"watercourse_stream",0.020392826,"N","Y","N","N",19,-0.00359999993816018,16,95,122,2,1.332200050354,0.00289999996311963,0,1.76559710502625,268.095489501953,13.9045000076294,69.0996017456055,12.9045000076294,2,15.8664999008179
"2411","high reliability","Camera - Surveillance/Remote","Observation","place",11526.35195,"watercourse_stream",0.010797771,"Y","Y","N","N",951.599975585938,-0.168699994683266,68,73,78,7,2.97729992866516,0.0405000001192093,1.43232798576355,12.7804431915283,248.82470703125,61.6952018737793,17.7262001037598,86.0184020996094,7,13.2006998062134
"2412","high reliability","Camera - Surveillance/Remote","Observation","place",6083.588977,"watercourse_stream",0.018492152,"Y","Y","N","N",745.400024414063,0.857699990272522,41,80,115,7,2.87010002136231,0.0337999984622002,1.59235632419586,12.6634426116943,274.905090332031,26.6919994354248,25.8885002136231,26.1914005279541,7,12.4323997497559
"2413","high reliability","Camera - Surveillance/Remote","Observation","place",9243.123711,"watercourse_stream",5.57e-05,"N","N","N","N",568.599975585938,0.131999999284744,19,100,102,12,2.72289991378784,0.0226000007241964,1.24260413646698,14.2916927337646,279.390411376953,20.601900100708,61.0191993713379,73.9691009521484,12,14.2763004302979
"2414","high reliability","Camera - Surveillance/Remote","Observation","place",2477.056663,"road",0.001634962,"Y","N","N","N",141.199996948242,0.352600008249283,64,102,106,8,2.09080004692078,0.0617000013589859,0.550744891166687,12.2707443237305,294.918914794922,16.0720996856689,81.6147994995117,30.517599105835,8,12.6021995544434
