"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","LATITUDEDD_NUM","LONGITUDEDD_NUM"
"3437","High reliability","Elliott trap","Captured and released","mountain",19318.16367,"watercourse_river",0.015675408,"Y","Y","N","Y",485.600006103516,4.0777997970581,8,78,115,6,2.68400001525879,0.156200006604195,1.61393249034882,14.2536296844482,278.439514160156,30.8381996154785,38.8338012695312,41.0281982421875,6,10.8569002151489,-37.34982,148.58928
"3438","High reliability","Elliott trap","Captured and released","mountain",4290.330589,"watercourse_stream",0.018517431,"Y","Y","N","Y",447.399993896484,-2.90910005569458,40,30,115,6,2.65050005912781,0.0414000004529953,0,1.76559710502625,264.330108642578,39.7313995361328,52.9761009216309,49.1703987121582,6,10.6063003540039,-37.35658,149.54343
"3439","High reliability","Elliott trap","Captured and released","mountain",4290.330589,"watercourse_stream",0.018517431,"Y","Y","N","Y",447.399993896484,-2.90910005569458,40,30,115,6,2.65050005912781,0.0414000004529953,0,1.76559710502625,264.330108642578,39.7313995361328,52.9761009216309,49.1703987121582,6,10.6063003540039,-37.35658,149.54343
"3440","High reliability","Elliott trap","Captured and released","mountain",4290.330589,"watercourse_stream",0.018517431,"Y","Y","N","Y",447.399993896484,-2.90910005569458,40,30,115,6,2.65050005912781,0.0414000004529953,0,1.76559710502625,264.330108642578,39.7313995361328,52.9761009216309,49.1703987121582,6,10.6063003540039,-37.35658,149.54343
"3441","High reliability","Elliott trap","Captured and released","mountain",20662.50465,"watercourse_river",0.014793293,"Y","Y","N","Y",125.800003051758,0.276300013065338,62,98,99,6,2.10409998893738,0.0308999996632338,0,1.76559710502625,256.950805664062,39.8190002441406,78.5746994018555,56.4494018554688,6,12.5600996017456,-37.70521,149.5485
"3442","High reliability","Elliott trap","Captured and released","place",7439.873807,"watercourse_stream",0.016505458,"Y","Y","N","Y",203,1.01199996471405,63,65,108,6,2.29579997062683,0.0935000032186508,0.277175307273865,4.2708945274353,282.348388671875,23.766300201416,69.1304016113281,33.5836982727051,6,13.4661998748779,-38.07517,146.51729
"3443","High reliability","Elliott trap","Captured and released","place",7439.873807,"watercourse_stream",0.016505458,"Y","Y","N","Y",203,1.01199996471405,63,65,108,6,2.29579997062683,0.0935000032186508,0.277175307273865,4.2708945274353,282.348388671875,23.766300201416,69.1304016113281,33.5836982727051,6,13.4661998748779,-38.07517,146.51729
"3446","High reliability","Elliott trap","Captured and released","mountain",8253.653504,"watercourse_stream",0.00049051,"Y","Y","N","Y",197.600006103516,-0.609399974346161,21,68,124,6,2.2765998840332,0.0425999984145165,0.287947207689285,8.82839775085449,277.768585205078,37.9351997375488,66.6807022094727,71.9692001342773,6,11.5123996734619,-37.94214,145.64186
"3447","High reliability","Elliott trap","Captured and released","mountain",8253.653504,"watercourse_stream",0.00049051,"Y","Y","N","Y",197.600006103516,-0.609399974346161,21,68,124,6,2.2765998840332,0.0425999984145165,0.287947207689285,8.82839775085449,277.768585205078,37.9351997375488,66.6807022094727,71.9692001342773,6,11.5123996734619,-37.94214,145.64186
"3448","High reliability","Hair tube","Identified from hair or scats","place",5786.208686,"road",0.005252967,"Y","N","Y","N",528.200012207031,0.108300000429153,25,125,131,16,2.70370006561279,0.0233999993652105,0,1.76559710502625,225.532592773438,56.4878005981445,67.8380966186523,176.996505737305,7,12.1245002746582,-38.61597,143.52083
