"","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","Reliability","log","lan"
"7","Timed bird census","Seen","airport",7903.575658,"watercourse_stream",0.013117577,"N","N",424.399993896484,0.131699994206428,38,91,80,8,2.5032000541687,0.0485000014305115,1.4357932806015,11.9155912399292,298.376586914062,-1.29550004005432,60.2647018432617,44.9695014953613,8,14.4368000030518,"high reliability",144.04555,-37.22267
"8","General observations","Observation","airport",6557.70938,"road",0.004254972,"Y","Y",161.679992675781,0.00920000020414591,15,90,91,18,2.02649998664856,0.00310000008903444,2.73198437690735,13.9347915649414,323.736785888672,-1.19420003890991,72.4720001220703,26.3770999908447,8,15.4060001373291,"low reliability",145.1478,-36.9404
"9","General observations","Observation","airport",6040.555992,"watercourse_stream",0.027069042,"N","N",169.600006103516,-0.00310000008903444,15,90,140,16,2.09409999847412,0.0137999998405576,0.010736633092165,0.854737341403961,338.444213867187,-4.11210012435913,71.1120986938477,29.8878993988037,108,15.688099861145,"low reliability",145.77686,-36.50235
"24","General observations","Observation","airport",5547.672906,"road",0.00062664,"N","N",116.400001525879,0.595399975776672,53,6,123,12,1.85860002040863,0.0694999992847443,0.757691860198975,9.99271583557129,290.888885498047,2.10419988632202,71.8970031738281,1.23979997634888,12,12.664999961853,"low reliability",144.50827,-37.64424
"25","General observations","Seen","place",7167.892172,"watercourse_river",0.000243783,"Y","N",96.1999969482422,-0.0031999999191612,60,4,83,20,1.37510001659393,0.00469999993219972,1.6502525806427,15.3689374923706,347.077087402344,-16.0771007537842,70.0771026611328,-2.07710003852844,103,15.7615003585815,"high reliability",144.84116,-36.1006
"27","General observations","Observation","place",8760.06161,"watercourse_river",0.005624984,"Y","N",157.199996948242,0.0148000000044704,15,90,101,18,1.27190005779266,0.0116999996826053,0.420063555240631,11.4725608825684,327.697204589844,-15.6112003326416,74.9641036987305,18.3027992248535,103,15.2693996429443,"high reliability",142.47681,-36.84391
"28","General observations","Seen","place",5082.673384,"state_border",0.013266191,"Y","Y",62.4000015258789,0,9,8,39,4,1.42400002479553,0.010499999858439,0.554094910621643,4.51356887817383,351.693695068359,-10.693699836731,71.6937026977539,-6.69369983673096,4,16.2224006652832,"low reliability",142.22336,-34.22946
"40","General observations","Observation","place",8140.391716,"road",0.004874615,"Y","Y",205.800003051758,-0.0197000000625849,15,90,81,8,2.12969994544983,0.00989999994635582,1.317049741745,14.4616718292236,326.711791992187,-2.41639995574951,68.1812973022461,19.1201992034912,8,16.4747009277344,"low reliability",144.96984,-36.70677
"44","General observations","Seen","place",3155.26283,"watercourse_river",0.012483895,"Y","N",248,-0.00109999999403954,32,120,119,103,2.29329991340637,0.0031999999191612,1.03771555423737,11.0002145767212,274.455688476562,7.18839979171753,71.4557037353516,15.5089998245239,103,14.2222003936768,"high reliability",144.21007,-37.88986
"51","General observations","Observation","rail_station",3555.828142,"road",0.0096354,"N","N",116.199996948242,-0.00130000000353903,15,113,140,19,1.74849998950958,0.00329999998211861,1.72452998161316,16.718620300293,338.972808837891,-9.97280025482178,71.9728012084961,9.02719974517822,103,16.4552993774414,"high reliability",145.32319,-36.41481
"58","General observations","Observation","airport",16245.33018,"road",0.007144665,"Y","Y",60.8956985473633,-0.00279999990016222,29,11,45,18,1.11580002307892,0.0019000000320375,0.661301851272583,5.6693959236145,344.754302978516,-10.5970001220703,69.5970001220703,-3.59699988365173,4,16.3274993896484,"low reliability",142.67151,-34.76337
"59","Timed bird census","Observation","place",7427.83675,"watercourse_river",0.004808561,"N","N",142.326293945313,-0.00889999978244305,65,14,82,16,2.01110005378723,0.00689999992027879,1.38661992549896,17.4071941375732,350.091796875,-8.09179973602295,69.091796875,10.460599899292,103,16.2686996459961,"high reliability",146.20432,-36.08406
"60","General observations","Observation","airport",6847.84795,"railway",0.00721618,"Y","Y",255,-0.00240000011399388,35,121,96,3,1.97200000286102,0.0167999994009733,0.216190993785858,10.999418258667,313.390197753906,-7.7726001739502,71.0099029541016,31.0571994781494,3,14.1899995803833,"low reliability",142.72727,-37.00909
"66","General observations","Observation","place",8859.152812,"watercourse_river",9.52e-05,"Y","Y",140.99560546875,0.0474999994039536,15,90,82,103,2.01570010185242,0.0130000002682209,1.74370288848877,17.412935256958,350.846710205078,-5.19820022583008,69.1981964111328,14.7974996566772,103,15.7620000839233,"high reliability",146.32358,-36.16503
"74","Bird count","Seen","mountain",3074.278027,"watercourse_stream",0.015746855,"Y","Y",193.800003051758,-0.0342000015079975,48,48,94,18,1.94739997386932,0.0217000003904104,1.10133802890778,9.7186861038208,331.413391113281,-9.4133996963501,66.4133987426758,11.5866003036499,103,17.4801998138428,"high reliability",143.69626,-36.60171
"75","Incidental","Seen","place",5257.168696,"watercourse_river",0.000410608,"N","N",125.084999084473,-0.00329999998211861,15,90,140,103,1.82690000534058,0.00249999994412065,1.71483051776886,16.8243064880371,334.248992919922,-7.24900007247925,69.2489013671875,15.7510004043579,103,15.6274995803833,"high reliability",145.3589,-36.51987
"79","General observations","Observation","place",2953.90883,"watercourse_river",0.000523371,"N","N",96.4000015258789,0,60,4,83,18,1.48329997062683,0.0019000000320375,1.02959048748016,14.0486478805542,349.356597900391,-17.3565998077393,71.3522033691406,-5.35659980773926,103,16.328800201416,"high reliability",144.98693,-36.00308
"84","Timed bird census","Observation","place",5645.411056,"watercourse_stream",0.028172483,"Y","Y",141.088394165039,-0.00810000021010637,48,48,81,103,1.86619997024536,0.0082999998703599,1.17916071414948,15.7328681945801,326.252899169922,-0.255400002002716,67.2540969848633,19.1406002044678,103,16.2530002593994,"high reliability",144.98488,-36.77372
"85","Timed bird census","Observation","place",5523.185454,"watercourse_stream",0.021621767,"Y","Y",149.199996948242,0.048200000077486,15,90,81,8,1.90970003604889,0.0154999997466803,1.47183620929718,17.2340564727783,327.909393310547,-2.87400007247925,69.8740005493164,17.1047992706299,8,15.5055999755859,"high reliability",144.97821,-36.77181
"86","Timed bird census","Observation","place",7122.502005,"road",0.022872384,"Y","Y",158.399993896484,-0.0162000004202127,15,90,81,108,1.95379996299744,0.00930000003427267,1.3678081035614,17.3247566223145,328.240386962891,-3.24040007591248,69.7891006469727,16.8894004821777,108,16.5967998504639,"high reliability",144.97973,-36.75651
"87","Timed bird census","Observation","place",7122.502005,"road",0.022872384,"Y","Y",158.399993896484,-0.0162000004202127,15,90,81,108,1.95379996299744,0.00930000003427267,1.3678081035614,17.3247566223145,328.240386962891,-3.24040007591248,69.7891006469727,16.8894004821777,108,16.5967998504639,"high reliability",144.97973,-36.75651
"89","Timed bird census","Observation","place",5645.411056,"watercourse_stream",0.028172483,"Y","Y",141.088394165039,-0.00810000021010637,48,48,81,103,1.86619997024536,0.0082999998703599,1.17916071414948,15.7328681945801,326.252899169922,-0.255400002002716,67.2540969848633,19.1406002044678,103,16.2530002593994,"high reliability",144.98488,-36.77372
"98","General observations","Observation","place",10182.84283,"watercourse_stream",0.010802928,"Y","Y",97.1999969482422,-0.000199999994947575,107,43,83,18,1.51989996433258,0.00350000010803342,2.08479428291321,18.0855674743652,348.231109619141,-16.2311000823975,68.2311019897461,-4.23110008239746,103,16.0818004608154,"high reliability",144.99762,-35.93115
"106","General observations","Seen","airport",10197.35292,"road",0.007670381,"N","Y",38.7999992370605,-0.000699999975040555,73,9,37,110,0,0.00659999996423721,0.812650978565216,5.35488891601563,349.574493408203,-10.5745000839233,70.5745010375977,-4.57450008392334,110,16.5419006347656,"low reliability",142.06488,-34.31841
"117","Bird transect","Observation","place",1991.914321,"road",0.012645972,"Y","Y",185.800003051758,-0.0186000000685453,48,48,94,16,1.82770001888275,0.0146000003442168,0.916800796985626,16.6499538421631,326.704803466797,-7.96829986572266,65.4774017333984,13.0313997268677,109,16.3152008056641,"high reliability",143.79735,-36.95444
"118","Bird transect","Observation","place",1991.914321,"road",0.012645972,"Y","Y",185.800003051758,-0.0186000000685453,48,48,94,16,1.82770001888275,0.0146000003442168,0.916800796985626,16.6499538421631,326.704803466797,-7.96829986572266,65.4774017333984,13.0313997268677,109,16.3152008056641,"high reliability",143.79735,-36.95444
"119","Bird transect","Observation","place",6020.105864,"road",0.022011892,"Y","Y",229.600006103516,0.104299999773502,15,90,94,8,2.0378999710083,0.0137000000104308,0.709913015365601,8.50470447540283,329.109191894531,-12.5116996765137,70.1080017089844,13.4151000976563,8,15.217399597168,"high reliability",143.50772,-36.75093
"120","Bird transect","Observation","place",13667.54758,"watercourse_stream",0.029910293,"Y","Y",229.199996948242,0.017000000923872,35,121,96,18,1.97520005702972,0.0138999996706843,0.147069916129112,11.0471000671387,322.115203857422,-11.1122999191284,69.1169967651367,21.0091991424561,3,15.7861003875732,"high reliability",143.08064,-36.779
"167","Incidental","Observation","place",5727.534289,"watercourse_river",0.005824785,"Y","Y",201.800003051758,-0.296700000762939,53,6,119,16,2.16580009460449,0.096900001168251,0.645579397678375,10.8486642837524,286.247985839844,5.19210004806519,69.3066024780273,4.75159978866577,103,14.7239999771118,"high reliability",144.36356,-37.66633
"169","Incidental","Observation","rail_station",8619.699851,"watercourse_river",0.006819256,"Y","N",62.3437995910645,0.244499996304512,32,120,123,18,1.58179998397827,0.0159000009298325,0.654040157794952,7.38857555389404,285.559295654297,0.61710000038147,78.3779983520508,1.15059995651245,109,14.0570001602173,"high reliability",144.57748,-37.78085
"175","Incidental","Observation","place",1965.932293,"watercourse_stream",0.00113747,"Y","N",157.199996948242,0,32,120,123,109,2.07229995727539,0.0103000001981854,0.764215350151062,10.142391204834,291.176086425781,1.82389998435974,74.1761016845703,0.823899984359741,109,17.6679000854492,"high reliability",144.61701,-37.61044
"187","Timed bird census","Observation","place",6780.886193,"road",0.008124872,"Y","Y",203,-0.00570000009611249,35,121,101,103,1.51670002937317,0.0097000002861023,0.230291098356247,6.66915273666382,313.170593261719,-6.17049980163574,72.594596862793,42.0199012756348,103,15.3875999450684,"high reliability",142.58783,-37.11379
"202","Timed bird census","Heard","rail_station",2834.734414,"watercourse_river",0.001323861,"N","Y",213.600006103516,0.133699998259544,35,121,68,3,2.23709988594055,0.0131999999284744,1.67233943939209,15.5990285873413,330.953186035156,6.14069986343384,62.8564987182617,43.1852989196777,3,13.8687000274658,"high reliability",145.9585,-36.52932
"205","Timed bird census","Seen","mountain",7956.163549,"watercourse_river",0.001322038,"N","N",156.399993896484,-0.161100000143051,38,91,68,3,2.03130006790161,0.0308999996632338,2.21162557601929,17.5836582183838,337.613586425781,-4.04440021514893,68.7674026489258,22.5969009399414,3,14.1443004608154,"high reliability",145.66644,-36.42996
