"","Reliability","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","named_natural_region","postcode","public_land","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","log","lan"
"126","high reliability","General observations","place",15224.29054,"road",0.009403635,"Y","N","Y","Y","N",80.5149002075195,-0.0270000007003546,56,46,42,18,1.67209994792938,0.00499999988824129,0.564101874828339,4.79851961135864,344.05810546875,-12.0579996109009,66.6501998901367,-1.05799996852875,4,15.4783000946045,141.43171,-34.41517
"127","high reliability","General observations","place",15224.29054,"road",0.009403635,"Y","N","Y","Y","N",80.5149002075195,-0.0270000007003546,56,46,42,18,1.67209994792938,0.00499999988824129,0.564101874828339,4.79851961135864,344.05810546875,-12.0579996109009,66.6501998901367,-1.05799996852875,4,15.4783000946045,141.43171,-34.41517
"128","high reliability","Timed bird census","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591,141.43391,-34.41786
"129","high reliability","Incidental","place",18705.35783,"road",0.141164924,"N","N","Y","Y","N",69.5999984741211,-0.0333999991416931,56,46,42,4,1.53970003128052,0.0131999999284744,1.42398190498352,16.0173721313477,343.779693603516,-11.8179998397827,67.7797012329102,-1.77970004081726,4,16.0401992797852,141.51941,-34.54559
"130","high reliability","Incidental","place",12442.46128,"road",0.091718181,"N","N","Y","N","N",49.1347999572754,0.00540000014007092,73,9,42,4,1.13779997825623,0.008500000461936,0.512223720550537,3.85956597328186,347.247589111328,-14.2481002807617,70.2481002807617,-4.24809980392456,4,17.2565002441406,141.54508,-34.49328
"131","high reliability","Camera - Surveillance/Remote","place",16465.56934,"road",0.009162242,"Y","N","Y","Y","N",81.5999984741211,-0.0584999993443489,73,9,42,18,1.68680000305176,0.0109000001102686,0.578236997127533,5.00242757797241,343.959686279297,-11.9597997665405,66.6834030151367,-0.965900003910065,4,15.4860000610352,141.406796,-34.410979
"132","high reliability","Bird transect","place",13191.26712,"road",0.106206114,"Y","N","Y","Y","N",49.1129989624023,-0.00240000011399388,29,11,42,4,1.13329994678497,0.00400000018998981,1.61613845825195,10.6765518188477,346.067504882812,-13.0838003158569,69.0838012695312,-3.08380007743835,4,16.6303005218506,141.5629,-34.50481
"133","high reliability","Bird transect","place",13191.26712,"road",0.106206114,"Y","N","Y","Y","N",49.1129989624023,-0.00240000011399388,29,11,42,4,1.13329994678497,0.00400000018998981,1.61613845825195,10.6765518188477,346.067504882812,-13.0838003158569,69.0838012695312,-3.08380007743835,4,16.6303005218506,141.5629,-34.50481
"134","high reliability","Bird transect","place",13191.26712,"road",0.106206114,"Y","N","Y","Y","N",49.1129989624023,-0.00240000011399388,29,11,42,4,1.13329994678497,0.00400000018998981,1.61613845825195,10.6765518188477,346.067504882812,-13.0838003158569,69.0838012695312,-3.08380007743835,4,16.6303005218506,141.5629,-34.50481
"135","high reliability","Bird transect","place",13191.26712,"road",0.106206114,"Y","N","Y","Y","N",49.1129989624023,-0.00240000011399388,29,11,42,4,1.13329994678497,0.00400000018998981,1.61613845825195,10.6765518188477,346.067504882812,-13.0838003158569,69.0838012695312,-3.08380007743835,4,16.6303005218506,141.5629,-34.50481
"136","high reliability","Bird transect","place",13191.26712,"road",0.106206114,"Y","N","Y","Y","N",49.1129989624023,-0.00240000011399388,29,11,42,4,1.13329994678497,0.00400000018998981,1.61613845825195,10.6765518188477,346.067504882812,-13.0838003158569,69.0838012695312,-3.08380007743835,4,16.6303005218506,141.5629,-34.50481
"137","high reliability","Bird transect","place",13191.26712,"road",0.106206114,"Y","N","Y","Y","N",49.1129989624023,-0.00240000011399388,29,11,42,4,1.13329994678497,0.00400000018998981,1.61613845825195,10.6765518188477,346.067504882812,-13.0838003158569,69.0838012695312,-3.08380007743835,4,16.6303005218506,141.5629,-34.50481
"138","high reliability","Bird transect","place",13191.26712,"road",0.106206114,"Y","N","Y","Y","N",49.1129989624023,-0.00240000011399388,29,11,42,4,1.13329994678497,0.00400000018998981,1.61613845825195,10.6765518188477,346.067504882812,-13.0838003158569,69.0838012695312,-3.08380007743835,4,16.6303005218506,141.5629,-34.50481
"139","high reliability","Bird transect","place",26212.73545,"watercourse_channel",0.159849808,"N","Y","Y","Y","N",72.9210968017578,0.0115000000223517,71,51,48,5,1.28410005569458,0.00389999989420176,0.461944878101349,3.61427092552185,334.077087402344,-8.07709980010986,64.0831985473633,4.92290019989014,5,15.8600997924805,141.91089,-35.44049
"140","high reliability","Bird transect","place",26212.73545,"watercourse_channel",0.159849808,"N","Y","Y","Y","N",72.9210968017578,0.0115000000223517,71,51,48,5,1.28410005569458,0.00389999989420176,0.461944878101349,3.61427092552185,334.077087402344,-8.07709980010986,64.0831985473633,4.92290019989014,5,15.8600997924805,141.91089,-35.44049
"141","high reliability","Bird transect","place",26212.73545,"watercourse_channel",0.159849808,"N","Y","Y","Y","N",72.9210968017578,0.0115000000223517,71,51,48,5,1.28410005569458,0.00389999989420176,0.461944878101349,3.61427092552185,334.077087402344,-8.07709980010986,64.0831985473633,4.92290019989014,5,15.8600997924805,141.91089,-35.44049
"142","high reliability","Bird transect","place",26212.73545,"watercourse_channel",0.159849808,"N","Y","Y","Y","N",72.9210968017578,0.0115000000223517,71,51,48,5,1.28410005569458,0.00389999989420176,0.461944878101349,3.61427092552185,334.077087402344,-8.07709980010986,64.0831985473633,4.92290019989014,5,15.8600997924805,141.91089,-35.44049
"143","high reliability","Bird transect","place",26212.73545,"watercourse_channel",0.159849808,"N","Y","Y","Y","N",72.9210968017578,0.0115000000223517,71,51,48,5,1.28410005569458,0.00389999989420176,0.461944878101349,3.61427092552185,334.077087402344,-8.07709980010986,64.0831985473633,4.92290019989014,5,15.8600997924805,141.91089,-35.44049
"144","high reliability","Bird transect","place",26212.73545,"watercourse_channel",0.159849808,"N","Y","Y","Y","N",72.9210968017578,0.0115000000223517,71,51,48,5,1.28410005569458,0.00389999989420176,0.461944878101349,3.61427092552185,334.077087402344,-8.07709980010986,64.0831985473633,4.92290019989014,5,15.8600997924805,141.91089,-35.44049
"145","high reliability","Incidental","place",14367.3831,"road",0.002402658,"Y","N","Y","Y","N",68.1999969482422,-0.0379999987781048,29,11,42,4,1.55250000953674,0.0154999997466803,0.304734289646149,3.76713180541992,346.050689697266,-13.0507001876831,68.0506973266602,-3.05069994926453,4,15.1731004714966,141.38919,-34.39637
"146","high reliability","Incidental","place",21121.25939,"state_border",0.000983485,"N","N","Y","Y","N",30.13330078125,-0.00359999993816018,9,8,19,4,0.934199988842011,0.00779999978840351,0.470129996538162,5.32201910018921,352.520690917969,-15.7877998352051,72.7878036499024,-9.78779983520508,4,16.6672992706299,140.9639,-34.16882
"147","high reliability","Incidental","place",13431.08954,"road",0.107134734,"Y","N","Y","Y","N",49.4000015258789,0.00609999988228083,29,11,42,4,1.14370000362396,0.00899999961256981,1.60139906406403,10.0476598739624,344.969207763672,-12.9156999588013,68.9157028198242,-2.91569995880127,4,16.1653003692627,141.55999,-34.50647
"148","high reliability","Camera - Surveillance/Remote","place",6545.546019,"watercourse_stream",0.017061422,"Y","N","Y","Y","N",109.745002746582,0.0163000002503395,37,140,125,106,1.86580002307892,0.0116999996826053,0.193773195147514,4.93233060836792,269.041198730469,0.625199973583221,80.217903137207,63.081901550293,106,16.8894996643066,141.54273,-37.9842
"149","high reliability","Birds Australia 500m area search","mountain",11060.23066,"road",0.01479257,"Y","N","Y","Y","N",279.399993896484,-0.00730000017210841,64,102,139,106,1.90610003471375,0.0315999984741211,0.347306787967682,9.08041572570801,291.187286376953,1.85450005531311,68.1886978149414,39.0917015075684,106,18.2250003814697,142.34971,-37.49832
"150","high reliability","General observations","place",13191.26712,"road",0.106206114,"Y","N","Y","Y","N",49.1129989624023,-0.00240000011399388,29,11,42,4,1.13329994678497,0.00400000018998981,1.61613845825195,10.6765518188477,346.067504882812,-13.0838003158569,69.0838012695312,-3.08380007743835,4,16.6303005218506,141.5629,-34.50481
"151","high reliability","Timed bird census","place",15550.14487,"road",0.002621382,"Y","N","Y","Y","N",72.8000030517578,0.0463000014424324,73,9,42,18,1.59990000724793,0.0116999996826053,0.558694660663605,4.67377376556397,344.916595458984,-12.916600227356,67.9166030883789,-2.88019990921021,4,15.4303998947144,141.41205,-34.3999
"152","high reliability","Timed bird census","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591,141.43391,-34.41786
"153","high reliability","Incidental","place",9904.730056,"watercourse_stream",0.008513969,"Y","N","Y","Y","N",488.200012207031,-0.14020000398159,19,100,105,16,2.62800002098083,0.022299999371171,0.178317606449127,6.90365314483643,286.36669921875,4.53560018539429,58.2975997924805,47.6431007385254,12,15.2843999862671,144.65206,-37.21463
"154","high reliability","Bird transect","place",13979.71268,"road",0.008212895,"N","N","Y","Y","N",75.5999984741211,0.00410000002011657,73,9,42,18,1.62119996547699,0.0111999996006489,0.608114898204803,4.52489280700684,347.559204101562,-15.559100151062,70.5590972900391,-4.55910015106201,4,16.4559993743896,141.44575,-34.41602
"155","low reliability","Timed bird census","mountain",7144.491243,"road",0.004629455,"Y","N","Y","Y","Y",146,-1.72510004043579,63,65,124,6,2.13759994506836,0.12610000371933,0.218155458569527,11.5183181762695,283.915100097656,32.9374008178711,69.8483963012695,66.7409973144531,6,13.7458000183106,145.6928,-37.94446
"156","low reliability","Timed bird census","rail_station",7343.073528,"watercourse_stream",0.01562238,"Y","N","Y","Y","Y",86.5999984741211,-0.490099996328354,62,98,124,6,1.90400004386902,0.029899999499321,0.330596178770065,12.4704523086548,284.137603759766,26.9083995819092,74.0274963378906,50.9678001403809,6,14.1532001495361,145.59656,-38.00426
"157","high reliability","Trap (unspecified)","place",12772.92663,"road",0.100458092,"N","N","Y","Y","N",51.2000007629395,0.00249999994412065,71,51,42,5,1.1956000328064,0.00279999990016222,1.40302836894989,10.9327564239502,345.394989013672,-12.6000995635986,68.60009765625,-2.60010004043579,5,16.952600479126,141.55833,-34.5
"158","high reliability","General observations","place",1354.878265,"road",0.011065156,"N","N","Y","N","N",56.4000015258789,-0.0208999998867512,29,11,42,18,1.28069996833801,0.00810000021010637,0.461324661970138,4.32903051376343,347.636810302734,-12.9511003494263,69.9511032104492,-3.95110011100769,4,16.003999710083,141.60569,-34.39639
"159","high reliability","Timed bird census","place",15086.63619,"road",0.011746946,"Y","N","Y","Y","N",79.1999969482422,-0.00789999961853027,56,46,42,18,1.65929996967316,0.00779999978840351,0.562338471412659,4.76498937606812,344.550506591797,-12.5506000518799,67.1778030395508,-1.55060005187988,4,15.4324998855591,141.43391,-34.41786
"160","high reliability","Bird transect","place",16221.30476,"road",0.001729681,"Y","N","Y","N","N",76.5999984741211,0.0031999999191612,29,11,42,18,1.63730001449585,0.00620000017806888,0.79191130399704,5.3702802658081,345.382202148437,-13.3822002410889,68.3822021484375,-2.58820009231567,4,15.5792999267578,141.42196,-34.40243
"161","high reliability","Incidental","place",11685.86314,"road",0.060510855,"N","N","Y","N","N",77.1999969482422,-0.0107000004500151,56,46,42,18,1.62549996376038,0.0108000002801418,-0.0712101310491562,0.240115195512772,344.322814941406,-11.8667001724243,67.86669921875,-1.86670005321503,4,15.9657001495361,141.50741,-34.46574
"162","high reliability","Incidental","place",13438.45449,"road",0.007235002,"N","N","Y","N","N",79.5999984741211,0.00329999998211861,73,9,42,18,1.65980005264282,0.00279999990016222,0.538940191268921,4.04086351394653,346.3291015625,-13.8963003158569,69.3291015625,-3.32909989356995,4,16.4115009307861,141.45173,-34.41582
"163","low reliability","Timed bird census","place",5565.365235,"watercourse_river",0.002818097,"Y","N","Y","Y","N",139.199996948242,-1.85060000419617,63,65,124,12,2.11610007286072,0.0859000012278557,0.222921743988991,7.36051797866821,281.156494140625,35.7664985656738,65.7173004150391,65.3848037719727,12,11.9201002120972,145.73878,-37.95755
"164","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"165","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"166","high reliability","Trap (unspecified)","place",19661.26684,"watercourse_channel",0.113537809,"Y","Y","Y","Y","N",71.5999984741211,-0.00230000005103648,71,51,48,5,1.22000002861023,0.00810000021010637,0.627942264080048,4.02841424942017,335.184997558594,-9.18509960174561,65.5655975341797,3.70230007171631,5,16.5184993743896,141.99861,-35.46389
"167","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"168","high reliability","Trap (unspecified)","place",15111.23465,"road",0.010653407,"Y","N","Y","Y","N",79,-0.00329999998211861,56,46,42,18,1.65750002861023,0.00469999993219972,0.562823116779327,4.99727582931519,345.315887451172,-13.315899848938,68.0134963989258,-2.31590008735657,4,16.1194000244141,141.43333,-34.41667
"169","high reliability","Birds Australia 5km area search","place",14128.77825,"road",8.09e-05,"N","N","Y","Y","N",83.4000015258789,0.00549999997019768,29,11,42,18,1.69659996032715,0,0.708964884281158,5.48340368270874,345.085296630859,-12.4579000473023,67.7682037353516,-2.08529996871948,4,16.3229999542236,141.44214,-34.40711
"170","high reliability","Birds Australia 2ha search","mountain",11060.23066,"road",0.01479257,"Y","N","Y","Y","N",279.399993896484,-0.00730000017210841,64,102,139,106,1.90610003471375,0.0315999984741211,0.347306787967682,9.08041572570801,291.187286376953,1.85450005531311,68.1886978149414,39.0917015075684,106,18.2250003814697,142.34971,-37.49832
