"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif","log","lan"
"342","high reliability","Quadrat","place",5903.534547,"road",0.006427342,"Y","Y","N","N",6,0,16,95,122,2,0.94379997253418,0.00930000003427267,0,1.76559710502625,270.527709960938,22.3777008056641,67.527702331543,15.4722995758057,2,18.3696994781494,147.53111,-38.07444
"343","high reliability","Quadrat","place",5901.646393,"road",0.006039609,"Y","Y","N","N",6.80000019073486,0.0153999999165535,16,95,122,2,0.981500029563904,0.00719999987632036,0,1.76559710502625,270.505615234375,22.3131008148193,67.5055999755859,15.4944000244141,2,17.7609004974365,147.53139,-38.07472
"344","high reliability","Quadrat","place",10254.36243,"road",0.001020422,"Y","Y","N","N",6.40000009536743,0.00270000007003546,16,95,122,16,0.96780002117157,0.00620000017806888,0,1.76559710502625,270.569213867187,20.4307994842529,67.5691986083984,14.4675998687744,2,18.2091999053955,147.47667,-38.10611
"345","high reliability","Quadrat","place",3187.630215,"road",0.009937461,"Y","Y","N","N",0.800000011920929,-0.00300000002607703,16,95,122,102,0.593800008296967,0.00400000018998981,0,1.76559710502625,271.715911865234,22.2840995788574,67.8410034179688,15.2840995788574,102,18.652099609375,147.55306,-38.05583
"346","high reliability","Quadrat","place",3242.145468,"road",0.010624176,"Y","Y","N","N",1,-0.00270000007003546,16,95,122,102,0.613699972629547,0.00439999997615814,0,1.76559710502625,271.683898925781,22.3160991668701,67.7666015625,15.3161001205444,102,18.7353000640869,147.55222,-38.05556
"347","high reliability","Quadrat","place",7093.3649,"road",0.001582691,"Y","Y","N","N",7.40000009536743,0,16,95,122,2,1.01279997825623,0.00260000000707805,0,1.76559710502625,271.200988769531,18.7989006042481,68.2009963989258,13.7988996505737,2,17.7782001495361,147.44417,-38.12667
"348","high reliability","Quadrat","place",8119.672463,"road",0.008144778,"Y","Y","N","N",9.80000019073486,-0.00779999978840351,16,95,122,2,1.10380005836487,0.00719999987632036,0,1.76559710502625,269.250701904297,20.9594993591309,67.0404968261719,15.0986003875732,2,17.3922004699707,147.46583,-38.12333
"349","low reliability","Quadrat","rail_station",4069.70962,"watercourse_river",0.001956351,"Y","N","N","N",81.5999984741211,0.595300018787384,64,108,106,19,1.80560004711151,0.0603000000119209,0.909755527973175,11.8495235443115,299.752899169922,11.0469999313354,83.9535980224609,15.9105997085571,8,13.7737998962402,145.11194,-37.63861
"350","high reliability","Quadrat","place",881.1794783,"road",0.003653294,"Y","Y","N","N",19.2000007629394,-0.127100005745888,57,145,129,106,1.30939996242523,0.0168999992311001,0.105438761413097,1.92082786560059,267.018707275391,22.3997993469238,91.6001968383789,69.7267990112305,106,15.6596002578735,146.21373,-38.65326
"351","low reliability","Quadrat","place",2234.347605,"watercourse_stream",0.004158947,"Y","N","N","N",116.400001525879,-3.93720006942749,53,6,106,12,1.98870003223419,0.146099999547005,1.03004467487335,12.4722919464111,290.767608642578,21.2747001647949,78.1013031005859,38.986198425293,12,12.1209001541138,145.340512,-37.638066
