"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif"
"203","high reliability","Quadrat","airport",10480.38691,"watercourse_stream",0.018598128,"Y","Y","N","Y",80.5999984741211,0.010499999858439,16,95,122,113,1.90480005741119,0.025000000372529,0,1.76559710502625,273.152709960937,17.8472995758057,66.152702331543,15.8472995758057,113,19.0540008544922
"204","low reliability","Quadrat","place",12204.53787,"watercourse_river",0.010555868,"Y","N","N","N",507.600006103516,0.737999975681305,64,102,105,12,2.64170002937317,0.0436000004410744,2.33185482025146,7.58487558364868,289.160095214844,5.44659996032715,54.5110015869141,52.4906005859375,12,13.3443002700806
"205","high reliability","Quadrat","airport",15262.07145,"watercourse_stream",0.004071586,"Y","Y","N","N",73,0.0590999983251095,20,149,127,17,1.69050002098084,0.0019000000320375,0.552379250526428,5.11890268325806,273.968811035156,2.03690004348755,73.6297988891602,66.0373992919922,6,15.4781999588013
"206","high reliability","Quadrat","place",6141.568146,"road",0.012798393,"Y","Y","N","Y",8,-0.00310000008903444,16,154,122,2,1.03349995613098,0.00179999996908009,0,1.76559710502625,270.999206542969,22.5862998962402,66.9991989135742,16.0007991790771,2,18.1753997802734
"207","high reliability","Quadrat","place",7452.182477,"road",0.002818084,"Y","Y","N","Y",6.59999990463257,0,16,95,122,2,0.977299988269806,0.00620000017806888,0,1.76559710502625,270.936401367187,19.8754005432129,67.9364013671875,14.0635995864868,2,17.6658992767334
"208","high reliability","Quadrat","place",8280.07388,"road",0.008580422,"Y","Y","N","Y",9.19999980926514,-0.0063999998383224,16,95,122,2,1.08299994468689,0.00630000000819564,0,1.76559710502625,269.201690673828,20.9039993286133,67.0960006713867,15.6796998977661,2,17.3959007263184
"209","high reliability","Quadrat","place",7112.029826,"road",0.001482872,"Y","Y","N","Y",7.80000019073486,0.00120000005699694,16,95,122,2,1.02929997444153,0.00139999995008111,0,1.76559710502625,271.340515136719,18.6595993041992,68.3404006958008,13.6596002578735,2,17.6065006256104
"210","high reliability","Quadrat","place",5763.801077,"watercourse_river",0.0002132,"Y","Y","N","N",123.599998474121,0.153799995779991,17,92,106,19,2.02020001411438,0.0197999998927116,0.947159230709076,12.4095525741577,296.797088623047,12.726300239563,81.8514022827148,19.1075992584229,103,14.9357995986938
"211","high reliability","Quadrat","place",8762.569209,"watercourse_stream",0.005443966,"Y","Y","N","N",220.199996948242,0.137299999594688,32,120,119,3,2.22790002822876,0.0225000008940697,0.712640643119812,9.26664257049561,288.045593261719,6.15110015869141,67.355598449707,7.12860012054443,3,14.4656000137329
"212","high reliability","Quadrat","place",9615.025667,"road",0.011043827,"Y","Y","N","Y",-0.800000011920929,0.00039999998989515,10,115,122,113,0.3125,0.00779999978840351,0,1.76559710502625,272.139007568359,19.8610000610352,68.1389999389648,13.8610000610352,113,18.2784004211426
"213","high reliability","Quadrat","place",5797.654343,"watercourse_stream",0.045621221,"Y","Y","N","N",156.199996948242,-0.822000026702881,53,6,117,103,1.78770005702972,0.0688000023365021,0.139374241232872,1.15379750728607,303.4873046875,-10.4111003875732,74.7077026367188,44.7002983093262,103,13.5037002563477
